slnoskm,Status,Address,Street_only, lat,long,Beds,bathsfull,bathshalf,bathstotal,sqft,garages,roof_Built-Up,roof_Concrete,roof_Shake,roof_Shingle,roof_Slate,roof_Tile,roof_Other,lotsqft,yrblt,pool_Community,pool_Private,pool_None,spa,subdivn,adom_agentdaysonmarket,cdom_cumuldaysmls,listprice,lppersqft,PendingDate,pd_dom,pd_moy,pd_year,sppersqft,datesold,ds_dom,ds_moy,ds_year,splsale,splsal_Auction,splsal_shortsale,splsale_BankOwnedREO,pricesold,days_on_market
86,Sold,17707 NATHANS DR,NATHANS DR,28.12795357,-82.34310431,2,2,0,2,1724,2,0,0,0,0,0,1,0,6450,1993,0,0,1,,HUNTERS GREEN PRCL 17A PH 1,15,15,235000,136.31,2/9/2018,9,2,2018,133.41,3/15/2018,15,3,2018,None,0,0,0,230000,34
87,Sold,9302 HERITAGE OAK CT,HERITAGE OAK CT,28.13001153,-82.33897905,3,2,0,2,1812,2,0,0,0,1,0,0,0,9350,1992,0,0,1,,HUNTERS GREEN PRCL 18A PH 1,3,3,230000,126.93,11/3/2017,3,11,2017,126.93,12/15/2017,15,12,2017,None,0,0,0,230000,42
88,Sold,17635 NATHANS DR,NATHANS DR,28.13035068,-82.34216411,3,2,0,2,1936,2,0,0,0,0,0,1,0,7150,1997,0,0,1,,HUNTERS GREEN PARCEL 17A PH 2,0,0,230000,118.8,10/9/2017,9,10,2017,118.8,10/27/2017,27,10,2017,None,0,0,0,230000,18
89,Sold,8904  COPPER RIDGE LN ,COPPER RIDGE LN,28.12751469,-82.35364672,4,3,0,3,2644,3,0,0,0,0,0,1,0,11904,1994,0,0,1,,HUNTERS GREEN,155,155,230000,86.99,2/4/2019,4,2,2019,86.99,3/18/2019,18,3,2019,Short Sale,0,1,0,230000,42
90,Sold,9412  AZALEA RIDGE CIR ,AZALEA RIDGE CIR,28.13103409,-82.32893883,4,3,0,3,2212,2,0,0,0,1,0,0,0,7437,1996,1,0,0,,HUNTERS GREEN PH 1,129,338,234000,105.79,8/14/2015,14,8,2015,103.98,9/10/2015,10,9,2015,None,0,0,0,230000,27
91,Sold,9302 HUNTINGTON PARK WAY,HUNTINGTON PARK WAY,28.13900308,-82.33225853,3,2,0,2,1578,2,0,0,0,1,0,0,0,7810,1996,0,0,1,,HUNTERS GREEN PRCL 20,46,46,239500,151.77,3/24/2018,24,3,2018,146.7,5/7/2018,7,5,2018,None,0,0,0,231500,44
92,Sold,17630 ESPRIT DR,ESPRIT DR,28.12982942,-82.34112841,3,2,1,3,1755,2,0,0,0,1,0,0,0,4845,1991,0,1,0,,HUNTERS GREEN PH 1A,30,30,239900,136.7,3/8/2018,8,3,2018,133.33,4/6/2018,6,4,2018,None,0,0,0,234000,29
93,Sold,17704 NATHANS DR,NATHANS DR,28.12785757,-82.34299149,3,2,1,3,1930,2,0,0,0,0,0,1,0,7616,1995,1,0,0,,HUNTERS GREEN PH 1,78,78,234900,121.71,8/9/2017,9,8,2017,121.5,9/27/2017,27,9,2017,Bank Owned/REO,0,0,1,234500,49
94,Sold,17719 RIDGEWAY POINT PL,RIDGEWAY POINT PL,28.12857513,-82.331505,3,2,1,3,1880,2,0,0,0,1,0,0,0,7224,1992,1,1,0,TRUE,HUNTERS GREEN PH 1,4,4,230000,122.34,12/17/2017,17,12,2017,125,2/16/2018,16,2,2018,None,0,0,0,235000,61
95,Sold,17722 RIDGEWAY POINT PL,RIDGEWAY POINT PL,28.12862177,-82.33163544,3,2,1,3,2022,2,0,0,0,1,0,0,0,5445,1992,1,0,0,,HUNTERS GREEN,8,8,230000,113.75,7/5/2017,5,7,2017,116.22,9/20/2017,20,9,2017,None,0,0,0,235000,77
96,Sold,9312 HUNTINGTON PARK WAY,HUNTINGTON PARK WAY,28.13843546,-82.33186235,3,2,0,2,1856,2,0,0,0,1,0,0,0,5500,1997,1,0,0,,HUNTERS GREEN,32,32,239000,128.77,5/16/2017,16,5,2017,126.62,6/7/2017,7,6,2017,None,0,0,0,235000,22
97,Sold,17602  ESPRIT DR ,ESPRIT DR,28.13070407,-82.34032378,3,2,1,3,2275,2,0,0,0,1,0,0,0,6016,1996,0,1,0,TRUE,HUNTERS GREEN PH 1A,137,137,248000,109.01,8/1/2015,1,8,2015,103.3,9/11/2015,11,9,2015,None,0,0,0,235000,41
98,Sold,9414  AZALEA RIDGE CIR ,AZALEA RIDGE CIR,28.13107293,-82.32893613,3,2,0,2,2084,3,0,0,0,1,0,0,0,7405,1997,0,1,0,,HUNTERS GREEN PH 2,195,195,247000,118.52,6/3/2015,3,6,2015,112.76,6/29/2015,29,6,2015,Short Sale,0,1,0,235000,26
99,Sold,9310 KNIGHTSBRIDGE CT,KNIGHTSBRIDGE CT,28.13074908,-82.33880631,3,2,0,2,2067,2,0,0,0,1,0,0,0,8450,1992,1,0,0,,HUNTERS GREEN PRCL 18A PH 1,79,79,235000,113.69,10/19/2019,19,10,2019,114.18,11/22/2019,22,11,2019,None,0,0,0,236000,34
100,Sold,9313 HUNTINGTON PARK WAY,HUNTINGTON PARK WAY,28.1381123,-82.3317734,3,2,0,2,1838,2,0,0,0,1,0,0,0,5500,1996,1,0,0,,HUNTERS GREEN,65,65,249900,135.96,2/1/2019,1,2,2019,128.4,2/15/2019,15,2,2019,None,0,0,0,236000,14
101,Sold,18104 HAMDEN PARK WAY,HAMDEN PARK WAY,28.13762786,-82.33290588,4,2,0,2,1685,2,0,0,0,1,0,0,0,5750,1997,0,0,1,,HUNTERS GREEN,30,30,239900,142.37,5/6/2019,6,5,2019,140.95,6/7/2019,7,6,2019,None,0,0,0,237500,32
102,Sold,9313  KNIGHTSBRIDGE CT ,KNIGHTSBRIDGE CT,28.13063449,-82.33876645,5,3,0,3,3070,2,0,0,0,1,0,0,0,7150,1998,0,0,1,,HUNTERS GREEN PH 1,37,247,244900,79.77,4/30/2015,30,4,2015,77.36,6/18/2015,18,6,2015,Bank Owned/REO,0,0,1,237500,49
103,Sold,17642  NATHANS DR ,NATHANS DR,28.13010574,-82.34200257,3,2,0,2,1831,2,0,0,0,0,0,1,0,6300,1994,0,1,0,,HUNTERS GREEN PH 2,1,1,244900,133.75,10/15/2015,15,10,2015,129.98,11/30/2015,30,11,2015,None,0,0,0,238000,46
104,Sold,9418  AZALEA RIDGE CIR ,AZALEA RIDGE CIR,28.1311506,-82.32893073,5,3,0,3,2392,2,0,0,0,1,0,0,0,7215,1997,0,0,1,,HUNTERS GREEN PRCL 24 PH 2,87,87,239900,100.29,5/8/2015,8,5,2015,99.5,6/25/2015,25,6,2015,None,0,0,0,238000,48
105,Sold,17728 LONG RIDGE RD,LONG RIDGE RD,28.12882322,-82.33374607,3,2,0,2,1848,2,0,0,0,1,0,0,0,5000,1994,1,0,0,,HUNTERS GREEN PH 2,40,40,243900,131.98,6/29/2018,29,6,2018,129.06,8/1/2018,1,8,2018,None,0,0,0,238500,33
106,Sold,9302 KNIGHTSBRIDGE CT,KNIGHTSBRIDGE CT,28.13074908,-82.33896579,3,2,0,2,1771,2,0,0,0,1,0,0,0,8960,1992,0,1,0,,HUNTERS GREEN PRCL 18A PH 1,11,11,239000,134.95,6/28/2019,28,6,2019,134.95,10/21/2019,21,10,2019,Short Sale,0,1,0,239000,115
107,Sold,17702 LONG RIDGE RD,LONG RIDGE RD,28.12773078,-82.3337536,3,2,1,3,1871,2,0,0,0,1,0,0,0,6537,1993,0,1,0,,HUNTERS GREEN PH 2,2,2,250000,133.62,4/23/2017,23,4,2017,127.74,5/22/2017,22,5,2017,None,0,0,0,239000,29
108,Sold,17714 LONG RIDGE RD,LONG RIDGE RD,28.12856396,-82.33375589,4,2,1,3,2303,2,0,0,0,1,0,0,0,5250,1994,1,0,0,,HUNTERS GREEN PH 2,171,171,255000,110.73,1/26/2019,26,1,2019,104.21,2/26/2019,26,2,2019,None,0,0,0,240000,31
109,Sold,17701 RIDGEWAY POINT PL,RIDGEWAY POINT PL,28.127681,-82.33148273,4,2,1,3,2185,2,0,0,0,1,0,0,0,7560,1992,0,0,1,,HUNTERS GREEN PH 1,86,86,246000,112.59,7/16/2016,16,7,2016,109.84,8/11/2016,11,8,2016,None,0,0,0,240000,26
110,Sold,17723  NATHANS DR ,NATHANS DR,28.12819333,-82.34358123,3,2,1,3,2186,2,0,0,0,0,0,1,0,6900,1992,0,1,0,,HUNTERS GREEN PH 1,19,19,253500,115.97,11/10/2015,10,11,2015,109.79,1/5/2016,5,1,2016,None,0,0,0,240000,56
111,Sold,17728 NATHANS DR,NATHANS DR,28.12834943,-82.34381535,3,2,0,2,1835,2,0,0,0,0,0,1,0,7280,1995,0,0,1,,HUNTERS GREEN PH 1,5,5,225000,122.62,1/7/2017,7,1,2017,131.06,1/30/2017,30,1,2017,None,0,0,0,240500,23
112,Sold,17735 ESPRIT DR,ESPRIT DR,28.12860802,-82.34040915,3,2,1,3,1930,2,0,0,0,1,0,0,0,8760,1994,1,0,0,,HUNTERS GREEN PH 1B 02,10,10,249900,129.48,4/25/2019,25,4,2019,124.87,5/28/2019,28,5,2019,None,0,0,0,241000,33
113,Sold,17725 HAMPSHIRE OAK DR,HAMPSHIRE OAK DR,28.13043062,-82.33691731,5,2,1,3,3235,2,0,0,0,1,0,0,0,7475,1995,0,1,0,,HUNTERS GREEN PH 1,90,90,249900,77.25,2/8/2017,8,2,2017,75.27,2/24/2017,24,2,2017,Bank Owned/REO,0,0,1,243500,16
114,Sold,17731 LONG RIDGE RD,LONG RIDGE RD,28.12903633,-82.33360799,4,2,1,3,2305,2,0,0,0,1,0,0,0,4500,1993,1,0,0,,HUNTERS GREEN PRCL 22A PH 2,75,75,245000,106.29,12/18/2016,18,12,2016,105.86,1/30/2017,30,1,2017,None,0,0,0,244000,43
115,Sold,18101 HAMDEN PARK WAY,HAMDEN PARK WAY,28.13750647,-82.33287862,3,2,0,2,1838,2,0,0,0,1,0,0,0,8395,1996,1,0,0,,HUNTERS GREEN PRCL 20,22,22,245000,133.3,8/25/2019,25,8,2019,133.3,10/25/2019,25,10,2019,None,0,0,0,245000,61
116,Sold,9306 HUNTINGTON PARK WAY,HUNTINGTON PARK WAY,28.13885643,-82.33217663,4,2,0,2,1685,2,0,0,0,1,0,0,0,5500,1996,1,0,0,,HUNTERS GREEN PRCL 20,22,22,244900,145.34,6/22/2019,22,6,2019,145.4,7/9/2019,9,7,2019,None,0,0,0,245000,17
117,Sold,9414 WILLOW COVE CT,WILLOW COVE CT,28.12791556,-82.33333718,3,2,1,3,2022,2,0,0,0,1,0,0,0,4500,1994,1,0,0,,HUNTERS GREEN PH 1,68,68,249900,123.59,9/29/2018,29,9,2018,121.17,10/26/2018,26,10,2018,None,0,0,0,245000,27
118,Sold,17709 EMERALD GREEN PL,EMERALD GREEN PL,28.12809096,-82.33771019,4,2,0,2,1706,2,0,0,0,1,0,0,0,7150,1997,1,1,0,TRUE,HUNTERS GREEN PH 2,57,233,259900,152.34,1/24/2018,24,1,2018,143.61,2/28/2018,28,2,2018,None,0,0,0,245000,35
119,Sold,17756 OAK BRIDGE ST,OAK BRIDGE ST,28.13076634,-82.3361971,4,2,1,3,2365,2,0,0,0,1,0,0,0,5720,1995,0,1,0,,HUNTERS GREEN PH 2A,45,45,257000,108.67,7/13/2017,13,7,2017,103.59,8/8/2017,8,8,2017,None,0,0,0,245000,26
120,Sold,9308  KNIGHTSBRIDGE CT ,KNIGHTSBRIDGE CT,28.13074908,-82.33884618,4,2,1,3,2911,3,0,0,0,1,0,0,0,7995,1992,0,0,1,,HUNTERS GREEN PH 1,32,192,260000,89.32,10/13/2015,13,10,2015,84.74,12/8/2015,8,12,2015,None,0,0,0,246666,56
121,Sold,17624 NATHANS DR,NATHANS DR,28.13068394,-82.34231919,3,3,0,3,2076,2,0,0,0,1,0,0,0,5900,1994,1,1,0,,HUNTERS GREEN PH 2,3,3,249900,120.38,7/2/2016,2,7,2016,119.41,8/19/2016,19,8,2016,None,0,0,0,247900,48
122,Sold,9017  QUAIL CREEK DR ,QUAIL CREEK DR,28.12926628,-82.34949459,4,2,1,3,2881,2,0,0,0,1,0,0,0,14560,1989,0,0,1,TRUE,HUNTERS GREEN,237,237,250000,86.78,8/11/2015,11,8,2015,86.08,9/17/2015,17,9,2015,None,0,0,0,248000,37
123,Sold,17732 LONG RIDGE RD,LONG RIDGE RD,28.1288973,-82.33374327,4,2,1,3,2305,2,0,0,0,1,0,0,0,5867,1994,0,0,1,,HUNTERS GREEN PH 2,8,8,239995,104.12,9/25/2018,25,9,2018,107.81,10/12/2018,12,10,2018,None,0,0,0,248500,17
124,Sold,18113 ASHTON PARK WAY,ASHTON PARK WAY,28.13808319,-82.33348495,3,2,0,2,1832,2,0,0,0,1,0,0,0,5750,1996,1,0,0,,HUNTERS GREEN PRCL 20,2,2,249000,135.92,11/23/2019,23,11,2019,135.92,12/13/2019,13,12,2019,None,0,0,0,249000,20
125,Sold,17618 NATHANS DR,NATHANS DR,28.13079066,-82.34233587,3,2,0,2,1810,2,0,0,0,0,1,0,0,6750,1996,1,1,0,FALSE,HUNTERS GREEN PRCL 17A PH 2,12,12,249000,137.57,1/15/2019,15,1,2019,137.57,2/7/2019,7,2,2019,None,0,0,0,249000,23
126,Sold,17723 HAMPSHIRE OAK DR,HAMPSHIRE OAK DR,28.13022581,-82.33691352,4,2,0,2,1903,3,0,0,0,1,0,0,0,7475,1996,1,0,0,,HUNTERS GREEN PH 1,43,43,257900,135.52,12/4/2016,4,12,2016,130.85,2/10/2017,10,2,2017,None,0,0,0,249000,68
127,Sold,9401  AZALEA RIDGE CIR ,AZALEA RIDGE CIR,28.13081443,-82.32877082,4,3,0,3,2392,2,0,0,0,1,0,0,0,11834,1997,0,1,0,,HUNTERS GREEN PRCL 24 PH 1,8,8,250000,104.52,5/15/2015,15,5,2015,104.1,8/3/2015,3,8,2015,None,0,0,0,249000,80
128,Sold,17710 LONG RIDGE RD,LONG RIDGE RD,28.12826933,-82.33375646,4,2,1,3,2305,2,0,0,0,1,0,0,0,5250,1994,0,0,1,,HUNTERS GREEN PH 2,8,8,249900,108.42,12/1/2016,1,12,2016,108.42,1/10/2017,10,1,2017,None,0,0,0,249900,40
129,Sold,18101 ASHTON PARK WAY,ASHTON PARK WAY,28.13798411,-82.33365247,3,2,0,2,1856,2,0,0,0,1,0,0,0,8395,1997,1,1,0,,HUNTERS GREEN,3,3,249900,134.64,7/13/2016,13,7,2016,134.64,8/26/2016,26,8,2016,None,0,0,0,249900,44
130,Sold,9406 OAK MEADOW CT,OAK MEADOW CT,28.12856208,-82.33327397,4,2,1,3,2305,2,0,0,0,1,0,0,0,4500,1994,1,0,0,,HUNTERS GREEN PRCL 22A PH 2,7,7,259900,112.75,3/19/2017,19,3,2017,108.46,5/1/2017,1,5,2017,None,0,0,0,250000,43
131,Sold,17805  GREY BROOKE DR ,GREY BROOKE DR,28.13106367,-82.34565096,4,3,0,3,2775,2,0,0,0,0,0,1,0,13612,1991,0,1,0,,HUNTERS GREEN,44,132,289900,104.47,3/7/2016,7,3,2016,90.09,3/31/2016,31,3,2016,Bank Owned/REO,0,0,1,250000,24
132,Sold,9313 HUNTERS PARK WAY,HUNTERS PARK WAY,28.13761148,-82.33322598,3,2,0,2,1838,2,0,0,0,1,0,0,0,5900,1996,0,0,1,,HUNTERS GREEN,31,31,249000,135.47,3/31/2017,31,3,2017,136.83,5/12/2017,12,5,2017,None,0,0,0,251500,42
133,Sold,17604 NATHANS DR,NATHANS DR,28.13103969,-82.34237478,3,2,0,2,1810,2,0,0,0,0,0,1,0,6750,1997,1,1,0,TRUE,HUNTERS GREEN PRCL 17A PH 1,40,40,279900,154.64,12/15/2019,15,12,2019,139.5,12/27/2019,27,12,2019,None,0,0,0,252500,12
134,Sold,9406  HUNTERS POND DR ,HUNTERS POND DR,28.13042314,-82.32962566,4,3,0,3,2232,3,0,0,0,1,0,0,0,6771,1998,0,0,1,,HUNTERS GREEN PH 1,118,118,265000,118.73,8/10/2015,10,8,2015,113.13,9/30/2015,30,9,2015,None,0,0,0,252500,51
135,Sold,17724 NATHANS DR,NATHANS DR,28.12821112,-82.3437367,3,2,1,3,1957,2,0,0,0,0,0,1,0,5500,1992,0,0,1,,HUNTERS GREEN PRCL 17A PH 1,2,2,265000,135.41,4/6/2018,6,4,2018,129.28,5/31/2018,31,5,2018,None,0,0,0,253000,55
136,Sold,17654 NATHANS DR,NATHANS DR,28.12966367,-82.34216305,3,2,1,3,1930,2,0,0,0,0,0,1,0,5865,1994,0,0,1,,HUNTERS GREEN PH 1,49,49,253000,131.09,6/10/2017,10,6,2017,131.09,7/20/2017,20,7,2017,None,0,0,0,253000,40
137,Sold,17731 LONG RIDGE RD,LONG RIDGE RD,28.12903633,-82.33360799,4,2,1,3,2305,2,0,0,0,1,0,0,0,4500,1993,0,0,1,,HUNTERS GREEN PRCL 22A PH 2,6,6,250000,108.46,9/9/2019,9,9,2019,110.2,10/28/2019,28,10,2019,None,0,0,0,254000,49
138,Sold,9077 QUAIL CREEK DR,QUAIL CREEK DR,28.12896174,-82.34949459,3,2,0,2,2376,2,0,0,0,1,0,0,0,7130,1990,0,1,0,,HUNTERS GREEN,113,113,259000,109.01,8/31/2016,31,8,2016,106.9,9/30/2016,30,9,2016,None,0,0,0,254000,30
139,Sold,17745 ESPRIT DR,ESPRIT DR,28.12886802,-82.34030479,4,2,1,3,2391,2,0,0,0,1,0,0,0,7200,1993,1,0,0,,HUNTERS GREEN PH 1B 02,60,60,272500,113.97,7/27/2018,27,7,2018,106.65,8/15/2018,15,8,2018,None,0,0,0,255000,19
140,Sold,17760 OAK BRIDGE ST,OAK BRIDGE ST,28.13086809,-82.3361971,4,2,1,3,2410,2,0,0,0,1,0,0,0,5720,1996,0,1,0,,HUNTERS GREEN PRCL 18B PH 2A,38,119,265000,109.96,6/4/2018,4,6,2018,105.81,6/28/2018,28,6,2018,None,0,0,0,255000,24
141,Sold,17715 HAMPSHIRE OAK DR,HAMPSHIRE OAK DR,28.1295029,-82.33690046,4,3,0,3,2129,3,0,0,0,1,0,0,0,7705,1997,0,0,1,,HUNTERS GREEN,91,91,265000,124.47,9/22/2017,22,9,2017,119.77,10/31/2017,31,10,2017,None,0,0,0,255000,39
142,Sold,9404 WILLOW COVE CT,WILLOW COVE CT,28.12791469,-82.33354203,4,2,1,3,2299,2,0,0,0,1,0,0,0,4500,1994,1,0,0,,HUNTERS GREEN PH 2,148,148,255000,110.92,8/24/2017,24,8,2017,110.92,9/25/2017,25,9,2017,None,0,0,0,255000,32
143,Sold,17642 NATHANS DR,NATHANS DR,28.13010574,-82.34200257,3,2,0,2,1808,2,0,0,0,0,0,1,0,6300,1994,1,1,0,,HUNTERS GREEN PH 2,2,2,255000,141.04,2/27/2017,27,2,2017,141.04,3/1/2017,1,3,2017,None,0,0,0,255000,2
144,Sold,9428  HUNTERS POND DR ,HUNTERS POND DR,28.13247283,-82.32890844,3,2,0,2,2132,3,0,0,0,1,0,0,0,11312,1997,0,0,1,,HUNTERS GREEN PH 2,71,71,269750,126.52,3/9/2015,9,3,2015,119.61,4/29/2015,29,4,2015,None,0,0,0,255000,51
145,Sold,9455  HUNTERS POND DR ,HUNTERS POND DR,28.13159558,-82.32746576,4,3,0,3,2598,,0,0,0,1,0,0,0,7788,1997,0,1,0,,HUNTERS GREEN PH 2,207,207,259900,100.04,1/30/2015,30,1,2015,99.27,3/20/2015,20,3,2015,Bank Owned/REO,0,0,1,257900,49
146,Sold,9058 QUAIL CREEK DR,QUAIL CREEK DR,28.12857948,-82.34673572,3,2,0,2,2347,2,0,0,0,1,0,0,0,6970,1991,1,0,0,,HUNTERS GREEN PARCEL 7,19,19,265000,112.91,8/8/2017,8,8,2017,109.93,9/26/2017,26,9,2017,None,0,0,0,258000,49
147,Sold,17731 HAMPSHIRE OAK DR,HAMPSHIRE OAK DR,28.13078251,-82.33695052,3,2,0,2,2079,3,0,0,0,1,0,0,0,7590,1992,1,1,0,,HUNTERS GREEN PH 1,81,81,270000,129.87,8/26/2016,26,8,2016,124.1,10/13/2016,13,10,2016,None,0,0,0,258000,48
148,Sold,9062 QUAIL CREEK DR,QUAIL CREEK DR,28.12889685,-82.34672185,3,2,0,2,2331,2,0,0,0,1,0,0,0,6900,1990,1,0,0,,HUNTERS GREEN,15,15,259000,111.11,3/24/2018,24,3,2018,111.11,4/18/2018,18,4,2018,None,0,0,0,259000,25
149,Sold,9316 HERITAGE OAK CT,HERITAGE OAK CT,28.13001273,-82.33869611,3,2,0,2,2099,3,0,0,0,1,0,0,0,7150,1995,0,1,0,TRUE,HUNTERS GREEN PH 1,61,61,260000,123.87,6/24/2017,24,6,2017,123.39,8/1/2017,1,8,2017,None,0,0,0,259000,38
150,Sold,17706 EMERALD GREEN PL,EMERALD GREEN PL,28.12806668,-82.33784005,3,2,1,3,1961,2,0,0,0,1,0,0,0,7150,1994,1,1,0,,HUNTERS GREEN PH 2,93,93,259000,132.08,6/24/2016,24,6,2016,132.08,7/29/2016,29,7,2016,None,0,0,0,259000,35
151,Sold,17305 LOCKWOOD RIDGE DR,LOCKWOOD RIDGE DR,28.1234214,-82.3607107,3,2,0,2,2026,2,0,0,0,1,0,0,0,10240,1991,0,1,0,,HUNTERS GREEN,6,6,259500,128.08,6/22/2016,22,6,2016,128.08,7/15/2016,15,7,2016,None,0,0,0,259500,23
152,Sold,9413 OAK MEADOW CT,OAK MEADOW CT,28.12844749,-82.3325656,3,2,1,3,1880,2,0,0,0,1,0,0,0,4500,1993,1,0,0,,HUNTERS GREEN PRCL 22A PH 1,2,2,259900,138.24,10/4/2019,4,10,2019,138.24,11/20/2019,20,11,2019,None,0,0,0,259900,47
153,Sold,17648 NATHANS DR,NATHANS DR,28.1298847,-82.34208281,3,2,1,3,2012,2,0,0,0,0,0,1,0,12210,1994,0,1,0,,HUNTERS GREEN,7,7,259900,129.17,4/7/2016,7,4,2016,129.17,5/20/2016,20,5,2016,None,0,0,0,259900,43
154,Sold,9402 WILLOW COVE CT,WILLOW COVE CT,28.12791452,-82.333583,3,2,1,3,2022,2,0,0,0,1,0,0,0,6300,1993,1,0,0,,HUNTERS GREEN PRCL 22A PH 1,16,16,260000,128.59,6/9/2019,9,6,2019,128.59,7/12/2019,12,7,2019,None,0,0,0,260000,33
155,Sold,17714 NATHANS DR,NATHANS DR,28.12787782,-82.34345916,3,2,0,2,2264,2,0,0,0,0,0,1,0,7056,1991,0,0,1,,HUNTERS GREEN PH 1,237,237,269900,119.21,5/15/2019,15,5,2019,114.84,6/28/2019,28,6,2019,None,0,0,0,260000,44
156,Sold,17768 OAK BRIDGE ST,OAK BRIDGE ST,28.1310716,-82.3361971,4,2,1,3,2518,2,0,0,0,1,0,0,0,8113,1995,1,0,0,,HUNTERS GREEN PH 2A,4,4,265000,105.24,2/23/2018,23,2,2018,104.05,4/19/2018,19,4,2018,None,0,0,0,262000,55
157,Sold,9204 CELEBRATION CT,CELEBRATION CT,28.12903459,-82.34034494,3,2,1,3,2295,2,0,0,0,1,0,0,0,6615,1992,1,0,0,,HUNTERS GREEN PH 1B 02,35,35,259900,113.25,8/22/2017,22,8,2017,115.15,10/11/2017,11,10,2017,None,0,0,0,264260,50
158,Sold,9470 HUNTERS POND DR,HUNTERS POND DR,28.13066774,-82.32884434,4,3,0,3,2440,2,0,0,0,1,0,0,0,7475,1995,1,0,0,,HUNTERS GREEN PH 1,77,77,269900,110.61,11/21/2018,21,11,2018,108.57,12/21/2018,21,12,2018,None,0,0,0,264900,30
159,Sold,9315 HAMPSHIRE PARK DR,HAMPSHIRE PARK DR,28.12985831,-82.33915055,4,2,0,2,1920,3,0,0,0,1,0,0,0,8125,1995,0,1,0,,HUNTERS GREEN PH 2,13,13,265000,138.02,6/21/2017,21,6,2017,138.02,8/7/2017,7,8,2017,None,0,0,0,265000,47
160,Sold,9304 HERITAGE OAK CT,HERITAGE OAK CT,28.1300117,-82.33893863,3,2,1,3,2041,3,0,0,0,1,0,0,0,7150,1993,0,1,0,,HUNTERS GREEN PH 1,15,15,265000,129.84,5/23/2017,23,5,2017,129.84,6/30/2017,30,6,2017,None,0,0,0,265000,38
161,Sold,8803 HEATHER GLEN CT,HEATHER GLEN CT,28.12278191,-82.35565043,4,3,0,3,2162,2,0,0,0,0,0,1,0,15520,1991,0,1,0,,HUNTERS GREEN,166,166,265000,122.57,12/12/2016,12,12,2016,122.57,2/8/2017,8,2,2017,None,0,0,0,265000,58
162,Sold,9319 HAMPSHIRE PARK DR,HAMPSHIRE PARK DR,28.1297804,-82.33915173,4,2,1,3,3235,2,0,0,0,1,0,0,0,15705,1993,1,0,0,,HUNTERS GREEN PH 2,140,140,279900,86.52,1/31/2017,31,1,2017,81.92,2/17/2017,17,2,2017,None,0,0,0,265000,17
163,Sold,9317  HERITAGE OAK CT ,HERITAGE OAK CT,28.12989814,-82.33869549,4,3,0,3,2338,3,0,0,0,1,0,0,0,9460,1993,0,1,0,,HUNTERS GREEN PH 2,22,22,265000,113.34,6/8/2015,8,6,2015,113.34,7/31/2015,31,7,2015,None,0,0,0,265000,53
164,Sold,17710 HAMPSHIRE OAK DR,HAMPSHIRE OAK DR,28.12811549,-82.33700178,4,3,0,3,2132,3,0,0,0,1,0,0,0,7150,1995,0,0,1,,HUNTERS GREEN PH 2,43,43,277500,130.16,1/24/2019,24,1,2019,124.53,3/22/2019,22,3,2019,None,0,0,0,265500,57
165,Sold,17509 WOODTHRUSH PL,WOODTHRUSH PL,28.12899733,-82.347329,3,2,0,2,2311,2,0,0,0,1,0,0,0,6900,1990,0,1,0,FALSE,HUNTERS GREEN,26,26,275000,119,8/30/2018,30,8,2018,115.53,10/11/2018,11,10,2018,None,0,0,0,267000,42
166,Sold,9307 HERITAGE OAK CT,HERITAGE OAK CT,28.12989728,-82.33889758,4,2,1,3,2444,3,0,0,0,1,0,0,0,7150,1994,0,1,0,,HUNTERS GREEN PH 2,74,74,269900,110.43,7/7/2017,7,7,2017,109.66,9/22/2017,22,9,2017,Bank Owned/REO,0,0,1,268000,77
167,Sold,17708 LONG RIDGE RD,LONG RIDGE RD,28.12809153,-82.33375523,4,2,1,3,2299,2,0,0,0,1,0,0,0,5250,1994,0,0,1,,HUNTERS GREEN PH 2,15,15,269000,117.01,4/4/2019,4,4,2019,117.01,5/1/2019,1,5,2019,None,0,0,0,269000,27
168,Sold,17615 NATHANS DR,NATHANS DR,28.13088175,-82.34248127,3,3,0,3,1860,2,0,0,0,0,0,1,0,5500,1993,0,0,1,TRUE,HUNTERS GREEN,25,25,269900,145.11,4/19/2018,19,4,2018,145.11,5/29/2018,29,5,2018,None,0,0,0,269900,40
169,Sold,9416 WILLOW COVE CT,WILLOW COVE CT,28.12791573,-82.33329621,4,2,1,3,2273,2,0,0,0,1,0,0,0,4500,1994,0,0,1,,HUNTERS GREEN,16,96,269999,118.79,8/31/2018,31,8,2018,118.79,10/3/2018,3,10,2018,None,0,0,0,269999,33
170,Sold,17711 ESPRIT DR,ESPRIT DR,28.12792126,-82.34018427,3,2,1,3,1695,2,0,0,0,1,0,0,0,8694,1992,0,0,1,,HUNTERS GREEN PH 1B 02,56,56,275000,162.24,4/5/2019,5,4,2019,159.29,6/3/2019,3,6,2019,None,0,0,0,270000,59
171,Sold,9319 WELLINGTON PARK CIR,WELLINGTON PARK CIR,28.13232374,-82.33659951,4,2,0,2,2401,2,0,0,0,0,0,1,0,12978,1993,1,1,0,,HUNTERS GREEN PH 1,52,95,275000,114.54,8/17/2018,17,8,2018,112.45,9/17/2018,17,9,2018,None,0,0,0,270000,31
